RC101

VEHICLE
NUMBER     CAPACITY
  25         070

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
    1      25         85         20        145        175         10   
    2      22         75         30         50         80         10   
    3      22         85         10        109        139         10   
    4      20         80         40        141        171         10   
    5      20         85         20         41         71         10   
    6      18         75         20         95        125         10   
    7      15         75         20         79        109         10   
    8      15         80         10         91        121         10   
    9      10         35         20         91        121         10   
   10      10         40         30        119        149         10   
